Known As,Full Name,Overall,Value,Best Position,Nationality,Age,Club Name,Joined On
I. Popescu,Iustin Popescu,62,350000,GK,Romania,28,CS Mioveni,2020
D. Vukojević,Dijan Vukojević,62,475000,ST,Sweden,26,Degerfors IF,2022
N. Tjoe-A-On,Nathan Tjoe-A-On,62,825000,LB,Netherlands,20,Excelsior,2019
M. Tambedou,Modou Tambedou,62,875000,CB,Senegal,19,SV Zulte Waregem,2022
Yang Kuo,Kuo Yang,62,350000,RWB,China PR,29,Wuhan Three Towns,2021
J. Romero,Julián Romero,62,925000,CAM,Argentina,18,Club Atlético Independiente,2021
P. Kalambayi,Paul Kalambayi,62,750000,CB,England,22,AFC Wimbledon,2016
Iker Piedra,Iker Piedra Blanco,62,850000,GK,Spain,20,Girona FC,2022
J. Braut-Brunes,Jonatan Braut-Brunes,62,900000,ST,Norway,21,Strømsgodset IF,2022
Y. Severin,Yoan Severin,62,500000,CB,France,25,Servette FC,2018
M. Karamarko,Marin Karamarko,62,550000,CB,Croatia,24,TSV Egger Glas Hartberg,2022
D. Seck,Demba Seck,62,975000,LM,Senegal,21,Torino F.C.,2022
Salinas,José Salinas Morán,62,850000,LB,Spain,21,CD Mirandés,2020
C. Widell,Casper Widell,62,875000,CB,Sweden,19,Helsingborgs IF,2020
M. Luciano,Martin Luciano,62,875000,LB,Argentina,18,Newell's Old Boys,2021
Guilherme Soares,Guilherme Araújo Soares,62,825000,CB,Portugal,21,SC Braga,2019
O. Perianu,Ovidiu Perianu,62,825000,CDM,Romania,20,FC Botoşani,2019
J. Lavega,Joaquín Lavega,62,900000,CAM,Uruguay,17,Club Atlético River Plate,2022
F. Ovelar,Fernando Ovelar,62,925000,CAM,Paraguay,18,Club Cerro Porteño,2021
L. Watson,Louie Watson,62,875000,CAM,Republic of Ireland,20,Luton Town,2022
K. Fernández,Kevin Fernández,62,800000,ST,Paraguay,23,General Caballero (JLM),2022
S. Ramos Mingo,Santiago Ramos Mingo,62,825000,CB,Argentina,20,Oud-Heverlee Leuven,2022
B. Shea,Brek Shea,62,325000,ST,United States,32,Inter Miami CF,2022
A. Mihaiu,Andreas Mihaiu,62,600000,RM,Romania,23,AFC Chindia Târgoviște,2022
J. Hoffman,Jason Hoffman,62,210000,LB,Australia,33,Newcastle Jets,2015
F. Murray,Fraser Murray,62,575000,CAM,Scotland,23,Kilmarnock,2021
Alcedo,Juan María Alcedo Serrano,62,600000,LB,Spain,21,Albacete BP,2022
K. Onsrud,Kristian Onsrud,62,425000,CM,Norway,27,Hamarkameratene,2018
Iago Domínguez,Iago Domínguez Rodríguez,62,850000,GK,Spain,20,CD Mirandés,2022
A. Şimşir,Aral Şimşir,62,950000,CAM,Turkey,20,Lillestrøm SK,2020
C. Díaz,Carlos Díaz,62,825000,CB,Venezuela,21,Metropolitanos de Caracas FC,2020
E. Duca,Edoardo Duca,62,575000,CAM,Italy,25,Modena,2018
K. Díaz,Kevin Díaz,62,875000,RM,Venezuela,20,Hermanos Colmenarez,2022
J. N'Guessan,Jean N'Guessan,62,850000,RM,Côte d'Ivoire,19,Nîmes Olympique,2021
A. Bencze,Antal Bencze,62,925000,GK,Hungary,20,Vitória de Guimarães,2020
M. Høyland,Martin Høyland,62,475000,CDM,Norway,26,Sarpsborg 08 FF,2022
E. Polverino,Emanuele Polverino,62,475000,GK,Italy,25,Bari,2021
J. Mitchell,Jonathan Mitchell,62,375000,GK,England,27,Doncaster Rovers,2022
M. Peart-Harris,Myles Peart-Harris,62,950000,CAM,England,19,Forest Green Rovers,2021
F. Pemi Moumbagna,Faris Pemi Moumbagna,62,900000,ST,Cameroon,22,Kristiansund BK,2020
L. Dehl,Laurenz Dehl,62,875000,CAM,Germany,20,Bohemian FC,2019
R. Crichlow,Romoney Crichlow,62,825000,CB,England,23,Bradford City,2017
Alan Godoy,Alan Godoy Domínguez,62,950000,ST,Spain,19,Deportivo Alavés,2020
Hu Jinghang,Jinghang Hu,62,550000,ST,China PR,25,Wuhan FC,2022
A. Dadakdeniz,Ataberk Dadakdeniz,62,775000,GK,Turkey,22,Antalyaspor,2021
Ç. Kurukalıp,Çağtay Kurukalıp,62,925000,LB,Turkey,20,Fenerbahçe SK,2021
J. McAtee,James McAtee,62,1000000,CAM,England,19,Sheffield United,2020
A. Madi,Achraf Madi,62,950000,CAM,Netherlands,20,Sparta Rotterdam,2021
E. Ongaro,Easton Ongaro,62,600000,ST,Canada,24,Vancouver Whitecaps FC,2022
E. Velasquez,Emerson Velasquez,62,575000,CB,Bolivia,23,Independiente Petrolero,2021
S. Khelifi,Salim Khelifi,62,400000,RM,Tunisia,28,Perth Glory,2022
N. Prelec,Nik Prelec,62,975000,ST,Slovenia,21,WSG Tirol,2022
S. Sissoko,Sambou Sissoko,62,575000,CDM,France,23,Seraing,2022
Luo Senwen,Senwen Luo,62,400000,ST,China PR,29,Wuhan Three Towns,2022
V. Melgar,Victor Melgar,62,140000,CDM,Bolivia,34,Independiente Petrolero,2022
W. Carmona,Wikelman Carmona,62,1000000,CAM,Venezuela,19,New York Red Bulls,2021
B. Jackson,Ben Jackson,62,850000,LWB,England,21,Huddersfield Town,2019
M. Wichmann,Mathias Wichmann,62,375000,CDM,Denmark,30,FK Jerv,2017
J. Plautz,Justin Plautz,62,550000,LWB,Germany,23,VfB Oldenburg,2022
C. Odoi-Atsem,Chris Odoi-Atsem,62,425000,RB,United States,27,D.C. United,2018
A. Al Owayshir,Abdullah Al Owayshir,62,210000,GK,Saudi Arabia,31,Ettifaq FC,2021
E. Hewitt,Elliott Hewitt,62,350000,RB,Wales,28,Mansfield Town,2021
J. Eppiah,Josh Eppiah,62,600000,ST,Belgium,23,Northampton Town,2017
J. Hawkes,Josh Hawkes,62,550000,CAM,England,23,Tranmere Rovers,2022
J. Tomkinson,Jonathan Tomkinson,62,900000,CB,United States,20,Norwich City,2020
L. Everink,Luca Everink,62,850000,CB,Netherlands,21,FC Twente,2021
R. Romeo,Roberto Romeo,62,275000,RB,Italy,32,Universitatea Cluj,2022
Chanza,Jorge Chanza Zapata,62,775000,GK,Spain,24,UD Ibiza,2019
L. Fadinger,Lukas Fadinger,62,900000,CAM,Austria,21,TSV Egger Glas Hartberg,2020
O. Hedvall,Oscar Hedvall,62,675000,GK,Denmark,23,Silkeborg IF,2015
T. Geralnik,Tiago José Geralnik,62,1000000,CAM,Argentina,19,Villarreal Club de Fútbol B,2020
A. Akurugu,Amankwaa Akurugu,62,925000,LB,Ghana,20,Getafe CF,2020
M. Sande,Mads Sande,62,800000,CM,Norway,24,FK Haugesund,2020
J. Falkingham,Josh Falkingham,62,325000,CM,England,31,Harrogate Town,2017
N. Wood,Nathan Wood,62,975000,CB,England,20,Swansea City,2022
F. Serrarens,Fabian Serrarens,62,325000,ST,Netherlands,31,HJK Helsinki,2022
J. Poiso,Joel Poiso,62,975000,RB,Uruguay,18,Liverpool Fútbol Club,2019
A. Aguilar,Alex Aguilar,62,825000,CB,Paraguay,21,Club Nacional,2017
B. Alston,Blair Alston,62,375000,CAM,Scotland,30,Kilmarnock,2021
M. Sarr,Mouhamadou Sarr,62,425000,GK,Senegal,25,US Cremonese,2021
Javi Guerra,Javier Guerra Moreno,62,1000000,CAM,Spain,19,Valencia CF,2021
E. Seidou,Edson Seidou,62,350000,LB,France,30,Stade Lavallois Mayenne FC,2020
Adriano Firmino,Adriano Firmino da Silva,62,850000,CDM,Brazil,22,Santa Clara,2022
P. Gregor,Pascal Gregor,62,375000,CB,Denmark,28,Lyngby BK,2020
I. Soumaré,Issa Soumaré,62,900000,ST,Senegal,21,US Quevilly Rouen Métropole,2021
R. Rodríguez,Rodolfo Rodríguez,62,45000,GK,Paraguay,35,Club Nacional,2022
D. Bobadilla,Damián Bobadilla,62,775000,CM,Paraguay,20,Club Cerro Porteño,2022
Paulo Eduardo,Paulo Eduardo Ferreira Godinho,62,900000,CB,Brazil,20,Santa Clara,2022
Álex Revuelta,Alejandro Revuelta Montero,62,750000,CB,Spain,22,Getafe CF,2021
A. Panait,Andrei Panait,62,200000,CDM,Romania,33,CS Mioveni,2021
R. Lavia,Romeo Lavia,62,1200000,CB,Belgium,18,Southampton,2022
C. García,Cristhian García,62,825000,LB,Ecuador,19,Delfín Sporting Club,2021
B. Mansilla,Brian Nicolás Mansilla,62,875000,CAM,Uruguay,20,Club Atlético Peñarol,2022
J. Kabananga,Junior Kabananga,62,250000,ST,Congo DR,33,CS Mioveni,2022
D. Pejčinović,Dženan Pejčinović,62,1000000,ST,Germany,17,VfL Wolfsburg,2022
M. Southam-Hales,Macauley Southam-Hales,62,425000,RWB,Wales,26,Stockport County,2020
B. Olsen,Brandur H. Olsen,62,525000,CAM,Faroe Islands,26,Helsingborgs IF,2020
Ş. Çetin,Şahverdi Çetin,62,900000,CAM,Germany,21,MKE Ankaragücü,2020
Adrián Sardinero,Adrián Sardinero Corpa,62,325000,LM,Spain,31,Perth Glory,2021
Zou Dehai,Dehai Zou,62,275000,GK,China PR,29,Beijing Guoan FC,2019
P. Sequeira,Patrick Gilmar Sequeira,62,675000,GK,Costa Rica,23,CD Lugo,2022
R. Sanchez,Renzo Sanchez,62,1000000,RM,Uruguay,18,Club Nacional de Football,2022
B. Ezeh,Brooklyn Ezeh,62,950000,LB,Germany,21,SV Wehen Wiesbaden,2022
S. Berhalter,Sebastian Berhalter,62,850000,CDM,United States,21,Vancouver Whitecaps FC,2022
T. Abdullah,Tareq Abdullah,62,425000,RB,Saudi Arabia,26,Al Taawoun,2021
M. Bastian,Maxime Bastian,62,950000,LB,France,21,FC Annecy,2021
M. Aruga,Martín Aruga,62,850000,LB,Argentina,23,Patronato,2018
N. Kosović,Nebojša Kosović,62,400000,CAM,Montenegro,27,Meizhou Hakka,2022
H. Beautyman,Harry Beautyman,62,375000,RM,England,30,Sutton United,2018
L. Sørensen,Lasse Sørensen,62,600000,CM,Denmark,22,Lincoln City,2021
Baltazar,Baltazar Oliveira,62,900000,CAM,Brazil,22,FC Sion,2018
D. Șerbănică,Daniel Șerbănică,62,475000,LB,Romania,26,CS Mioveni,2021
K. Felida,Kevin Felida,62,600000,CDM,Curacao,22,RKC Waalwijk,2022
Martim Tavares,Martim Miguel Carneiro Tavares,62,1000000,ST,Portugal,18,Boavista FC,2021
T. Beadling,Tom Beadling,62,425000,CDM,England,26,Western Sydney Wanderers,2022
T. Krapikas,Titas Krapikas,62,775000,GK,Lithuania,23,Ternana,2021
C. Egbuchulam,Chisom Egbuchulam,62,400000,ST,Nigeria,30,Meizhou Hakka,2020
S. Osigwe,Sebastian Osigwe,62,350000,GK,Nigeria,28,FC Lugano,2020
M. Sponsel,Meiko Sponsel,62,925000,CB,Germany,20,Rot-Weiß Essen,2021
O. Ocheretko,Oleg Ocheretko,62,950000,CAM,Ukraine,19,Shakhtar Donetsk,2020
T. Diagouraga,Toumani Diagouraga,62,110000,CDM,France,35,Rochdale,2022
D. Lippert,Dennis Lippert,62,425000,LB,Germany,26,SpVgg Bayreuth,2020
R. Sotiriou,Ruel Sotiriou,62,900000,RM,Cyprus,21,Leyton Orient,2017
N. Markelo,Nathangelo Markelo,62,850000,CB,Netherlands,23,Excelsior,2022
I. Espinoza,Italo Espinoza,62,400000,GK,Peru,26,Ayacucho,2021
L. Becerra,Luis Becerra,62,750000,CB,Ecuador,24,Delfín Sporting Club,2021
T. Deniz,Tunay Deniz,62,400000,RM,Germany,28,Hallescher FC,2022
S. Hong,Seok-ju Hong,62,875000,ST,Korea Republic,19,Viktoria Köln,2021
B. Oviedo,Bryan Oviedo,62,275000,LB,Costa Rica,32,Real Salt Lake,2022
D. James,Dean James,62,850000,LB,Netherlands,22,FC Volendam,2020
M. Pedersen,Mikkel Pedersen,62,525000,CDM,Denmark,26,Randers FC,2022
E. Mina,Eliéser Mina,62,325000,ST,Venezuela,31,Hermanos Colmenarez,2021
J. Moe,Jeppe Arctander Moe,62,425000,LWB,Norway,26,Aalesunds FK,2022
B. Plat,Brian Plat,62,750000,CB,Netherlands,22,FC Volendam,2019
G. Norambuena,Gabriel Norambuena,62,950000,RM,Chile,19,Unión Española,2020
D. Simeu,Dynel Simeu,62,900000,CB,England,20,Tranmere Rovers,2021
Marc Carbó,Marc Carbó Bellapart,62,400000,CM,Spain,28,CD Lugo,2022
Ibra Pérez,Ibraima José Barry Pérez,62,1000000,CM,Spain,20,CD Tenerife,2021
C. Riedel,Clemens Riedel,62,875000,CB,Germany,18,SV Darmstadt 98,2021
M. Esponda,Marcelo Esponda,62,900000,RWB,Argentina,19,Newell's Old Boys,2022
A. Judge,Alan Judge,62,240000,CAM,Republic of Ireland,33,Colchester United,2021
M. Gatto,Massimiliano Gatto,62,475000,LM,Italy,26,Como,2019
T. Kastanaras,Thomas Kastanaras,62,1000000,ST,Germany,19,VfB Stuttgart,2022
L. Connell,Luca Connell,62,900000,CM,Republic of Ireland,21,Barnsley,2022
C. Björk,Carl Björk,62,650000,ST,Sweden,22,Brøndby IF,2022
Lee Yong Rae,Yong Rae Lee,62,130000,CM,Korea Republic,36,Daegu FC,2021
T. Prica,Tim Prica,62,875000,CAM,Sweden,20,WSG Tirol,2020
L. Watkowiak,Lukas Watkowiak,62,450000,GK,Germany,26,FC St. Gallen 1879,2020
D. Bernard,Dominic Bernard,62,475000,CB,Republic of Ireland,25,Forest Green Rovers,2019
S. Trémoulet,Sandro Trémoulet,62,750000,CB,France,22,Seraing,2022
A. Gabrielloni,Alessandro Gabrielloni,62,425000,ST,Italy,27,Como,2018
Ó. Segura,Óscar Segura,62,950000,RM,Colombia,19,Deportivo Cali,2022
R. Haynes,Ryan Haynes,62,425000,LB,England,26,Northampton Town,2022
Ji Eon Hak,Eon Hak Ji,62,400000,RM,Korea Republic,28,Sangju Sangmu FC,2021
L. Mercan,Levent Mercan,62,975000,CAM,Germany,21,Fatih Karagümrük S.K.,2022
Feng Jin,Jin Feng,62,350000,RM,China PR,28,Shanghai Port FC,2022
Dêniro Prestes,Dêniro Rubens Prestes Cadete,62,475000,ST,Brazil,22,Ceará Sporting Club,2022
K. Dennis,Kristian Dennis,62,325000,ST,England,32,Carlisle United,2022
B. Balogh,Botond Balogh,62,900000,CB,Hungary,20,Parma,2020
Tovar,Jaume Tovar Seguí,62,900000,ST,Spain,23,RCD Mallorca,2018
F. Balaj,Filip Balaj,62,575000,ST,Slovakia,24,Cracovia,2021
N. Sadaoui,Noah Sadaoui,62,400000,LM,Morocco,28,FC Goa,2022
M. Wegner,Max Wegner,62,250000,ST,Germany,33,VfB Oldenburg,2020
V. Vermeulen,Valentino Vermeulen,62,875000,RM,Netherlands,20,Borussia Dortmund II,2022
Shao Puliang,Puliang Shao,62,200000,GK,China PR,32,Shijiazhuang Ever Bright F.C.,2016
J. Olaitan Ishola,Junior Olaitan Ishola,62,875000,RM,Benin,20,Chamois Niortais Football Club,2022
T. Úlfarsson,Thor Úlfarsson,62,900000,ST,Iceland,21,Houston Dynamo,2022
Zhong Yihao,Yihao Zhong,62,425000,LWB,China PR,26,Henan Songshan Longmen FC,2022
T. Eyoma,TJ Eyoma,62,750000,CB,England,22,Lincoln City,2021
F. Alves,Frederik Alves,62,825000,CB,Denmark,22,Brøndby IF,2022
R. Ispas,Rareș Ispas,62,850000,LB,Romania,21,Sepsi OSK Sf. Gheorghe,2022
L. Mikić,Leo Mikić,62,525000,ST,Croatia,25,SV Ried,2021
K. Goden,Kevin Goden,62,600000,RB,Germany,23,TSV 1860 München,2021
G. Dorsey,Griffin Dorsey,61,650000,RM,United States,23,Houston Dynamo,2021
Jeong Dong Yun,Dong Yun Jeong,61,325000,RWB,Korea Republic,28,Sangju Sangmu FC,2018
Almerge,Javier Almerge Viñuales,61,775000,CB,Spain,21,SD Huesca,2022
R. Al Ibrahim,Riyadh Al Ibrahim,61,325000,CAM,Saudi Arabia,28,Al Khaleej,2020
A. Romero,Andrés Romero,61,475000,CB,Uruguay,24,Cerro Largo Fútbol Club,2022
Pedro Teixeira,João Pedro Teixeira Silva,61,700000,GK,Portugal,20,Clube Sport Marítimo,2020
G. Mina,Glendys Mina,61,375000,LM,Ecuador,26,9 de Octubre,2021
S. MacDonald,Shaun MacDonald,61,325000,GK,England,25,Cheltenham Town,2022
H. St Clair,Harvey St Clair,61,525000,CAM,Scotland,23,Venezia FC,2018
T. Knowles,Tom Knowles,61,650000,RM,England,23,Walsall,2022
H. Akman,Hamza Yiğit Akman,61,875000,CAM,Turkey,17,Galatasaray SK,2022
D. Happe,Dan Happe,61,425000,CB,England,23,Leyton Orient,2017
I. Quispe,Ismael Quispe,61,575000,GK,Peru,22,Sport Boys,2022
S. Djeffal,Sofiane Djeffal,61,725000,CAM,France,23,D.C. United,2022
J. Wosz,Joscha Wosz,61,700000,CAM,Germany,19,Sportclub Verl,2022
J. Bertilsson,Johan Bertilsson,61,150000,RW,Sweden,34,Degerfors IF,2020
Park Jung Bin,Jung Bin Park,61,325000,LM,Korea Republic,28,Rodez Aveyron Football,2022
P. Nwadike,Patrick Nwadike,61,450000,CB,Sweden,23,IK Sirius,2021
B. McNamee,Barry McNamee,61,325000,LM,Republic of Ireland,30,Finn Harps,2020
S. Camara,Sekou Camara,61,500000,ST,Guinea,24,FC Botoşani,2020
C. Calzadilla,Carlos Calzadilla,61,800000,RM,Venezuela,20,Deportivo Táchira FC,2022
A. Hofman,Albert Hofman,61,775000,CAM,Romania,19,Universitatea Cluj,2021
W. Kamiński,Wojciech Kamiński,61,700000,CB,Poland,21,Piast Gliwice,2019
Dali,Dalisson de Almeida Leite,61,725000,RM,Spain,22,Racing Santander,2022
J. Quintero,Jesús Quintero,61,700000,CB,Venezuela,21,Deportivo Táchira FC,2019
A. Boyle,Andy Boyle,61,220000,CB,Republic of Ireland,31,Dundalk FC,2019
L. Mosquera,Leonardo Mosquera,61,700000,RWB,Venezuela,21,Deportivo La Guaira FC,2020
M. Wędrychowski,Marcel Wędrychowski,61,800000,LM,Poland,20,Pogoń Szczecin,2018
Kike Ríos,Enrique Ríos Vega,61,700000,CB,Spain,22,Real Valladolid CF,2021
I. Thiam,Idrissa Thiam,61,725000,LM,Mauritania,21,CD Lugo,2022
N. Al Sharari,Nader Al Sharari,61,375000,CB,Saudi Arabia,26,Al Shabab,2021
Lin Longchang,Longchang Lin,61,210000,CB,China PR,32,Dalian Professional Football Club,2022
Ji Dong Won,Dong Won Ji,61,275000,ST,Korea Republic,31,FC Seoul,2021
S. Almadjed,Sumar Almadjed,61,425000,CM,Sweden,26,Helsingborgs IF,2022
M. Franzke,Maximilian Franzke,61,725000,RM,Germany,23,1. FC Magdeburg,2021
D. Krezic,Daniel Krezic,61,350000,LB,North Macedonia,26,Degerfors IF,2022
I. Konovalov,Ivan Konovalov,61,325000,GK,Russia,27,Livingston FC,2022
F. Schock,Florian Schock,61,650000,GK,Germany,21,VfB Stuttgart,2021
R. Bennett,Richie Bennett,61,275000,ST,England,31,Barrow,2022
A. Muhsin,Amar Muhsin,61,525000,ST,Sweden,24,Helsingborgs IF,2022
L. Semić,Lion Semić,61,800000,RWB,Germany,18,Borussia Dortmund,2022
B. Orosco,Brian Orosco,61,475000,CAM,Argentina,24,Estudiantes de La Plata,2022
B. Sambou,Bassala Sambou,61,475000,ST,Germany,24,Crewe Alexandra,2022
S. Kobusiński,Szymon Kobusiński,61,500000,ST,Poland,24,Zagłębie Lubin,2022
J. Maddox,Jacob Maddox,61,725000,CAM,England,23,Walsall,2022
F. Rossi,Francesco Rossi,61,170000,GK,Italy,31,Atalanta,2009
F. Szymczak,Filip Szymczak,61,800000,ST,Poland,20,Lech Poznań,2018
R. Smajić,Rijad Smajić,61,775000,CB,Bosnia and Herzegovina,18,1. FC Köln,2022
J. Belocian,Jeanuël Belocian,61,775000,CB,France,17,Stade Rennais FC,2021
M. Kosidis,Michalis Kosidis,61,800000,ST,Greece,20,AEK Athens,2021
S. Sabetkar,Sean Sabetkar,61,375000,CB,Sweden,27,Degerfors IF,2021
L. Ovando,Lautaro Ovando,61,725000,ST,Argentina,19,Argentinos Juniors,2019
E. Pavlis,Emmanuel Pavlis,61,775000,CAM,Australia,19,GD Chaves,2022
E. Edwards Jr.,Earl Edwards Jr.,61,220000,GK,United States,30,New England Revolution,2021
Pacheco,Antonio Pacheco Ruiz,61,775000,CM,Spain,20,Villarreal Club de Fútbol B,2020
A. Al Jadaani,Abdullah Al Jadaani,61,220000,GK,Saudi Arabia,30,Al Ittihad,2022
Kikín,José Antonio Ángel García,61,750000,RB,Spain,19,Cádiz CF,2022
Chang Feiya,Feiya Chang,61,325000,RM,China PR,29,Guangzhou City,2013
J. Eskesen,Julius Eskesen,61,650000,RM,Denmark,23,FK Haugesund,2022
B. Sass-Davies,Billy Sass-Davies,61,700000,CB,Wales,22,Crewe Alexandra,2017
A. Mabika,Aimé Mabika,61,600000,CB,Zambia,23,Inter Miami CF,2022
E. Boyle,Ethan Boyle,61,450000,CB,Republic of Ireland,25,Finn Harps,2021
M. Bouchouari,Mohamed Bouchouari,61,700000,RWB,Belgium,21,FC Emmen,2020
M. Winkler,Marten Winkler,61,775000,ST,Germany,19,SV Waldhof Mannheim 07,2021
B. M'Bondo,Bradley M'Bondo,61,675000,CB,France,20,Chamois Niortais Football Club,2021
L. Coyle,Liam Coyle,61,625000,CDM,England,22,Accrington Stanley,2021
E. Depussay,Emeric Depussay,61,725000,CDM,France,20,FC Girondins de Bordeaux,2022
Matis Carvalho,Matis Carvalho,61,625000,GK,Portugal,23,Montpellier Hérault SC,2019
J. Ideho,Joel Ideho,61,825000,RM,Netherlands,18,Arsenal,2020
G. Gürpüz,Göktan Gürpüz,61,850000,CAM,Germany,19,Borussia Dortmund,2021
A. Bukhari,Ameen Bukhari,61,375000,GK,Saudi Arabia,25,Al Nassr,2020
E. Murray,Euan Murray,61,275000,CB,Scotland,28,Hartlepool United,2022
P. Kotal,Pritam Kotal,61,275000,CB,India,28,ATK Mohun Bagan FC,2019
Joan González,Joan González Cañellas,61,725000,RM,Spain,20,Lecce,2022
Kim Gyeong Jae,Gyeong Jae Kim,61,300000,CB,Korea Republic,28,Jeju United FC,2020
G. Amanda,Gloire Amanda,61,500000,ST,Canada,23,SK Austria Klagenfurt,2021
E. Franco,Enzo Javier Franco,61,725000,LB,Argentina,18,Club Atlético Independiente,2022
J. McGing,Jake McGing,61,300000,RWB,Australia,28,Macarthur FC,2020
Li Peng,Peng Li,61,220000,CB,China PR,31,Wuhan FC,2022
Marc Aguado,Marc Aguado Pallarés,61,725000,CAM,Spain,22,FC Andorra,2017
S. Oulad M'Hand,Salah-Eddine Oulad M'Hand,61,825000,CAM,Netherlands,18,Hull City,2020
B. Kiernan,Brendan Kiernan,61,325000,LM,England,29,Grimsby Town,2021
Pol Bassa,Pol Bassa Mora,61,675000,LB,Spain,19,Burgos CF,2022
D. Engel,Dennis Engel,61,350000,RB,Germany,26,VfB Oldenburg,2020
G. Carvajal,Gustavo Carvajal,61,700000,CDM,Colombia,22,América de Cali,2018
J. Schelfhout,Jordy Schelfhout,61,650000,GK,Belgium,21,KV Oostende,2019
A. Yahya,Ayman Yahya,61,800000,LM,Saudi Arabia,21,Al Nassr,2019
T. Ricketts,Tosaint Ricketts,61,160000,ST,Canada,34,Vancouver Whitecaps FC,2022
K. Smith,Kane Smith,61,375000,RWB,England,26,Stevenage,2022
G. Manvelyan,Gor Manvelyan,61,725000,CAM,France,20,FC Nantes,2021
G. Tanco,Gregorio Tanco,61,700000,CB,Argentina,22,Club Atlético Banfield,2020
D. Klann,Dominik Klann,61,475000,CDM,Germany,23,Sportclub Verl,2022
C. Hayes,Cian Hayes,61,700000,LW,Republic of Ireland,19,Fleetwood Town,2021
S. Atakayi,Serge Atakayi,61,500000,RM,Finland,23,St. Patrick's Athletic,2022
A. Angulo,Anderson Angulo,61,425000,CB,Colombia,26,Club Deportes Tolima,2020
C. Savage,Charlie Savage,61,800000,CM,Wales,19,Manchester United,2021
J. Löffelsend,Jasper Löffelsend,61,425000,CDM,Germany,24,Real Salt Lake,2022
V. Veliu,Valmir Veliu,61,725000,RM,Kosovo,22,Gazişehir Gaziantep F.K.,2022
S. Moya,Santiago Moya,61,800000,CB,Argentina,19,Club Atlético Huracán,2021
Yang Ting,Ting Yang,61,300000,RB,China PR,29,Chengdu Rongcheng F.C.,2022
J. Day,Joe Day,61,170000,GK,England,31,Newport County,2021
K. Dąbrowski,Kevin Dąbrowski,61,625000,GK,Poland,24,Hibernian,2020
A. Romaní,Aryan Romaní,61,725000,RM,Peru,20,Ayacucho,2022
E. Attipoe,Emmanuel Attipoe,61,700000,RB,Ghana,22,Albacete BP,2022
A. Paluszek,Aleksander Paluszek,61,700000,CB,Poland,21,Górnik Zabrze,2019
H. Ali,Hussein Ali,61,675000,RWB,Sweden,20,SC Heerenveen,2022
O. Babuscu,Onurhan Babuscu,61,700000,CAM,Austria,18,Gazişehir Gaziantep F.K.,2022
Biel Farrés,Biel Farrés del Castillo,61,675000,CB,Spain,20,Girona FC,2021
J. Hiwula,Jordy Hiwula,61,350000,RW,England,27,Ross County FC,2022
T. Heward-Belle,Thomas Heward-Belle,61,400000,GK,Australia,25,Sydney FC,2017
Kim Won Gun,Won Gun Kim,61,275000,CB,Korea Republic,30,Gangwon FC,2022
N. Konstandopoulos,Nathan Konstandopoulos,61,425000,CM,Australia,26,Melbourne Victory,2022
M. Sylla,Mohamed Sylla,61,300000,CDM,France,28,Hartlepool United,2022
L. Harris,Luke Harris,61,1000000,CAM,Wales,17,Fulham,2022
T. Zaal,Timo Zaal,61,775000,CB,Netherlands,18,SC Heerenveen,2020
N. Bitumazala,Nathan Bitumazala,61,750000,CDM,France,19,KAS Eupen,2022
J. Perea,Juan Perea,61,800000,LM,Colombia,20,CD Leganés,2022
H. Kite,Harry Kite,61,500000,CAM,England,22,Exeter City,2018
S. Magnússon,Sævar Atli Magnússon,61,750000,CAM,Iceland,22,Lyngby BK,2021
S. Delaye,Sacha Delaye,61,775000,CAM,France,20,Montpellier Hérault SC,2021
T. Nakai,Takuhiro Nakai,61,1000000,CAM,Japan,18,Real Madrid CF,2020
S. Ibrahim,Sunusi Ibrahim,61,725000,ST,Nigeria,19,Club de Foot Montréal,2021
S. Braybrooke,Sammy Braybrooke,61,825000,CAM,England,18,Leicester City,2022
H. Carneil,Hussein Carneil,61,775000,CAM,Sweden,19,IFK Göteborg,2022
Afonso Freitas,Afonso Manuel Abreu Freitas,61,625000,LB,Portugal,22,Vitória de Guimarães,2020
C. Brackelmann,Calvin Brackelmann,61,700000,CB,Germany,22,FC Ingolstadt 04,2022
Vere,Alejandro Asensio Crespillo,61,800000,LM,Spain,21,Rayo Vallecano,2021
P. Sánchez,Pedro Sánchez,61,675000,CAM,Chile,24,CD Everton de Viña del Mar,2015
M. Carpio,Mathías Carpio,61,775000,CAM,Peru,19,Cienciano,2022
M. Breunig,Maximilian Breunig,61,675000,ST,Germany,21,SC Freiburg II,2022
D. Rouyard,Davy Rouyard,61,650000,GK,France,22,FC Girondins de Bordeaux,2021
M. Camara,Mamadou Camara,61,750000,ST,France,21,US Quevilly Rouen Métropole,2022
M. Vesprini,Matías Vesprini,61,700000,CB,Argentina,22,CD Leganés,2022
A. Vera,Agustín Vera,61,825000,LM,Uruguay,18,Club Atlético River Plate,2022
C. MacPherson,Cammy MacPherson,61,650000,RM,Scotland,23,St. Johnstone FC,2022
M. Dembélé,Mahamadou Dembélé,61,675000,CB,France,23,Seraing,2022
Lin Liangming,Liangming Lin,61,400000,RM,China PR,25,Dalian Professional Football Club,2021
K. Matuszewski,Konrad Matuszewski,61,675000,LWB,Poland,20,Warta Poznań,2021
G. Szymusik,Grzegorz Szymusik,61,625000,RB,Poland,24,Korona Kielce,2018
